timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-11-21 14:02:53,Thursday,shared sauna,3,20,3.96,scattered clouds,4.28,scattered clouds,No
2024-11-21 14:06:35,Thursday,shared sauna,3,20,3.96,scattered clouds,4.28,scattered clouds,No
2024-11-21 14:10:17,Thursday,shared sauna,5,24,4.29,scattered clouds,4.59,scattered clouds,No
2024-11-21 14:14:02,Thursday,shared sauna,0,0,4.29,scattered clouds,4.59,scattered clouds,No
2024-11-21 14:17:44,Thursday,shared sauna,5,30,3.26,scattered clouds,3.11,scattered clouds,No
2024-11-21 14:21:27,Thursday,shared sauna,5,30,3.26,scattered clouds,3.11,scattered clouds,No
2024-11-21 14:25:10,Thursday,shared sauna,9,34,3.06,scattered clouds,3.11,scattered clouds,No
2024-11-21 14:28:52,Thursday,shared sauna,9,34,3.06,scattered clouds,3.32,scattered clouds,No
2024-11-21 14:48:28,Thursday,shared sauna,12,28,2.94,scattered clouds,3.19,scattered clouds,No
2024-11-21 14:52:10,Thursday,shared sauna,12,32,2.94,scattered clouds,3.19,scattered clouds,No
2024-11-21 14:55:53,Thursday,shared sauna,12,32,2.94,scattered clouds,3.19,scattered clouds,No
2024-11-21 14:59:35,Thursday,shared sauna,13,28,2.86,scattered clouds,3.12,scattered clouds,No
2024-11-21 15:03:18,Thursday,shared sauna,13,28,3.53,scattered clouds,3.79,scattered clouds,No
2024-11-21 15:07:00,Thursday,shared sauna,13,28,3.53,scattered clouds,3.79,scattered clouds,No
2024-11-21 15:10:43,Thursday,shared sauna,13,31,3.47,scattered clouds,3.73,scattered clouds,No
2024-11-21 15:14:25,Thursday,shared sauna,12,40,3.47,scattered clouds,3.73,scattered clouds,No
2024-11-21 15:18:08,Thursday,shared sauna,12,40,3.47,scattered clouds,3.73,scattered clouds,No
2024-11-21 15:21:50,Thursday,shared sauna,12,38,3.43,few clouds,3.69,few clouds,No
