timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-12-14 13:45:53,Saturday,shared sauna,9,23,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 13:49:37,Saturday,shared sauna,11,31,0.84,overcast clouds,1.11,light snow,No
2024-12-14 13:53:20,Saturday,shared sauna,11,31,0.84,overcast clouds,1.11,light snow,No
2024-12-14 13:57:04,Saturday,shared sauna,12,38,0.84,overcast clouds,1.11,light snow,No
2024-12-14 14:00:52,Saturday,shared sauna,12,38,0.84,overcast clouds,1.11,light snow,No
2024-12-14 14:04:38,Saturday,shared sauna,11,39,0.84,overcast clouds,1.11,light snow,No
2024-12-14 14:08:21,Saturday,shared sauna,8,44,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:12:04,Saturday,shared sauna,8,44,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:15:47,Saturday,shared sauna,5,53,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:19:30,Saturday,shared sauna,6,55,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:23:13,Saturday,shared sauna,6,55,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:26:56,Saturday,shared sauna,6,55,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:30:39,Saturday,shared sauna,8,57,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:34:22,Saturday,shared sauna,8,57,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:38:05,Saturday,shared sauna,9,55,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:41:48,Saturday,shared sauna,9,53,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:45:31,Saturday,shared sauna,9,53,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:49:14,Saturday,shared sauna,6,50,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:52:56,Saturday,shared sauna,5,54,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 14:56:39,Saturday,shared sauna,5,54,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:00:22,Saturday,shared sauna,5,48,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:04:05,Saturday,shared sauna,5,50,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:07:48,Saturday,shared sauna,5,50,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:11:30,Saturday,shared sauna,6,50,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:15:14,Saturday,shared sauna,7,50,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:18:57,Saturday,shared sauna,7,50,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:22:40,Saturday,shared sauna,7,46,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:26:23,Saturday,shared sauna,7,52,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:30:06,Saturday,shared sauna,7,52,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:33:49,Saturday,shared sauna,7,54,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:37:32,Saturday,shared sauna,9,60,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:41:15,Saturday,shared sauna,9,60,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:44:58,Saturday,shared sauna,11,60,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:48:40,Saturday,shared sauna,12,59,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:52:24,Saturday,shared sauna,12,59,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:56:06,Saturday,shared sauna,9,61,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 15:59:49,Saturday,shared sauna,9,61,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 16:03:32,Saturday,shared sauna,9,67,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 16:07:15,Saturday,shared sauna,11,63,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 16:10:57,Saturday,shared sauna,11,61,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 16:14:40,Saturday,shared sauna,11,61,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 16:18:23,Saturday,shared sauna,12,60,0.84,overcast clouds,1.11,overcast clouds,No
2024-12-14 16:22:06,Saturday,shared sauna,14,55,0.84,overcast clouds,1.11,overcast clouds,No
