timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-12-13 14:03:10,Friday,shared sauna,0,2,1.6,overcast clouds,1.87,overcast clouds,No
2024-12-13 14:06:57,Friday,shared sauna,0,2,1.6,overcast clouds,1.87,overcast clouds,No
2024-12-13 14:10:40,Friday,shared sauna,4,7,1.72,overcast clouds,1.99,overcast clouds,No
2024-12-13 14:14:22,Friday,shared sauna,4,7,1.6,broken clouds,1.99,overcast clouds,No
2024-12-13 14:18:05,Friday,shared sauna,4,12,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:21:49,Friday,shared sauna,4,12,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:25:32,Friday,shared sauna,5,12,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:29:15,Friday,shared sauna,5,12,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:32:58,Friday,shared sauna,5,17,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:36:42,Friday,shared sauna,5,17,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:40:27,Friday,shared sauna,6,20,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:44:10,Friday,shared sauna,6,20,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:47:54,Friday,shared sauna,8,19,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:51:37,Friday,shared sauna,8,19,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:55:20,Friday,shared sauna,12,21,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 14:59:03,Friday,shared sauna,12,21,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:02:46,Friday,shared sauna,12,24,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:06:30,Friday,shared sauna,13,23,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:10:12,Friday,shared sauna,13,23,1.72,overcast clouds,1.87,broken clouds,No
2024-12-13 15:13:55,Friday,shared sauna,12,22,1.72,overcast clouds,1.87,broken clouds,No
2024-12-13 15:17:38,Friday,shared sauna,12,24,1.72,overcast clouds,1.87,broken clouds,No
2024-12-13 15:21:21,Friday,shared sauna,12,24,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:25:04,Friday,shared sauna,11,22,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:28:46,Friday,shared sauna,11,25,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:32:29,Friday,shared sauna,11,25,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:36:12,Friday,shared sauna,11,22,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:39:55,Friday,shared sauna,11,22,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:43:38,Friday,shared sauna,11,26,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:47:21,Friday,shared sauna,12,28,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:51:04,Friday,shared sauna,12,28,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:54:47,Friday,shared sauna,10,32,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 15:58:30,Friday,shared sauna,11,28,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:02:13,Friday,shared sauna,11,28,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:05:56,Friday,shared sauna,11,34,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:09:41,Friday,shared sauna,11,34,1.6,broken clouds,1.99,overcast clouds,No
2024-12-13 16:13:23,Friday,shared sauna,0,0,1.6,broken clouds,1.99,overcast clouds,No
2024-12-13 16:17:07,Friday,shared sauna,9,28,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:20:50,Friday,shared sauna,9,28,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:24:33,Friday,shared sauna,11,32,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:28:15,Friday,shared sauna,11,32,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:31:58,Friday,shared sauna,13,38,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:35:41,Friday,shared sauna,14,39,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:39:24,Friday,shared sauna,14,39,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:43:07,Friday,shared sauna,14,35,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:46:50,Friday,shared sauna,14,35,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:50:33,Friday,shared sauna,15,56,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:54:17,Friday,shared sauna,14,57,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 16:58:00,Friday,shared sauna,14,57,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 17:01:45,Friday,shared sauna,11,63,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 17:05:28,Friday,shared sauna,11,63,1.6,broken clouds,1.87,broken clouds,No
2024-12-13 17:09:16,Friday,shared sauna,10,65,1.6,broken clouds,2.22,overcast clouds,No
2024-12-13 17:13:03,Friday,shared sauna,10,65,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:16:45,Friday,shared sauna,0,0,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:20:28,Friday,shared sauna,12,70,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:24:11,Friday,shared sauna,13,71,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:27:54,Friday,shared sauna,16,74,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:31:36,Friday,shared sauna,16,74,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:35:19,Friday,shared sauna,0,0,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:39:02,Friday,shared sauna,19,53,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:42:45,Friday,shared sauna,19,53,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:46:28,Friday,shared sauna,18,35,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:50:10,Friday,shared sauna,18,37,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:53:53,Friday,shared sauna,18,37,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 17:57:36,Friday,shared sauna,19,43,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 18:01:19,Friday,shared sauna,0,0,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 18:05:01,Friday,shared sauna,19,45,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 18:08:45,Friday,shared sauna,22,45,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 18:12:27,Friday,shared sauna,22,45,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 18:16:11,Friday,shared sauna,28,48,1.95,overcast clouds,2.22,overcast clouds,No
2024-12-13 18:19:54,Friday,shared sauna,28,49,1.95,overcast clouds,2.22,overcast clouds,No
