timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-12-17 14:02:49,Tuesday,shared sauna,0,7,9.72,overcast clouds,9.99,overcast clouds,No
2024-12-17 14:06:31,Tuesday,shared sauna,0,0,9.5,overcast clouds,9.77,overcast clouds,No
2024-12-17 14:10:14,Tuesday,shared sauna,2,12,9.5,overcast clouds,9.77,overcast clouds,No
2024-12-17 14:13:57,Tuesday,shared sauna,3,16,9.5,overcast clouds,9.77,overcast clouds,No
2024-12-17 14:17:40,Tuesday,shared sauna,6,25,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:21:26,Tuesday,shared sauna,6,25,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:25:09,Tuesday,shared sauna,9,24,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:28:52,Tuesday,shared sauna,9,24,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:32:34,Tuesday,shared sauna,9,28,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:36:17,Tuesday,shared sauna,10,31,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:40:00,Tuesday,shared sauna,0,0,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:43:43,Tuesday,shared sauna,12,32,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:47:26,Tuesday,shared sauna,12,32,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:51:09,Tuesday,shared sauna,13,33,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:54:52,Tuesday,shared sauna,13,33,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 14:58:35,Tuesday,shared sauna,13,35,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:02:18,Tuesday,shared sauna,14,30,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:06:01,Tuesday,shared sauna,14,30,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:09:43,Tuesday,shared sauna,13,26,9.5,overcast clouds,9.76,broken clouds,No
2024-12-17 15:13:26,Tuesday,shared sauna,13,26,9.5,overcast clouds,9.77,overcast clouds,No
2024-12-17 15:17:09,Tuesday,shared sauna,13,22,9.5,overcast clouds,9.76,broken clouds,No
2024-12-17 15:20:52,Tuesday,shared sauna,13,22,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:24:36,Tuesday,shared sauna,12,19,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:28:19,Tuesday,shared sauna,11,27,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:32:02,Tuesday,shared sauna,11,27,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:35:45,Tuesday,shared sauna,8,26,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:39:28,Tuesday,shared sauna,9,23,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:43:11,Tuesday,shared sauna,9,23,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:46:54,Tuesday,shared sauna,12,24,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:50:36,Tuesday,shared sauna,0,0,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:54:19,Tuesday,shared sauna,11,28,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 15:58:02,Tuesday,shared sauna,9,27,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:01:45,Tuesday,shared sauna,9,27,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:05:28,Tuesday,shared sauna,9,26,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:09:11,Tuesday,shared sauna,11,23,9.5,overcast clouds,9.76,broken clouds,No
2024-12-17 16:12:54,Tuesday,shared sauna,11,23,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:16:36,Tuesday,shared sauna,11,21,9.5,overcast clouds,9.76,broken clouds,No
2024-12-17 16:20:19,Tuesday,shared sauna,16,34,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:24:02,Tuesday,shared sauna,16,34,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:27:45,Tuesday,shared sauna,17,38,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:31:28,Tuesday,shared sauna,18,49,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:35:10,Tuesday,shared sauna,18,49,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:38:53,Tuesday,shared sauna,19,51,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:42:36,Tuesday,shared sauna,19,51,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:46:19,Tuesday,shared sauna,19,49,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:50:02,Tuesday,shared sauna,19,49,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:53:45,Tuesday,shared sauna,20,48,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 16:57:27,Tuesday,shared sauna,19,48,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 17:01:10,Tuesday,shared sauna,19,48,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 17:04:53,Tuesday,shared sauna,19,52,9.49,broken clouds,9.76,broken clouds,No
2024-12-17 17:08:36,Tuesday,shared sauna,19,52,9.5,overcast clouds,9.77,overcast clouds,No
2024-12-17 17:12:19,Tuesday,shared sauna,20,49,9.5,overcast clouds,9.77,overcast clouds,No
2024-12-17 17:16:02,Tuesday,shared sauna,22,52,9.5,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:19:45,Tuesday,shared sauna,22,52,9.5,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:23:28,Tuesday,shared sauna,20,52,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:27:11,Tuesday,shared sauna,22,48,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:30:54,Tuesday,shared sauna,0,0,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:34:37,Tuesday,shared sauna,23,31,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:38:20,Tuesday,shared sauna,23,31,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:42:03,Tuesday,shared sauna,21,26,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:45:46,Tuesday,shared sauna,19,26,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:49:29,Tuesday,shared sauna,18,25,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:53:12,Tuesday,shared sauna,18,25,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 17:56:54,Tuesday,shared sauna,18,20,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 18:00:37,Tuesday,shared sauna,18,20,9.49,overcast clouds,9.76,overcast clouds,No
2024-12-17 18:04:20,Tuesday,shared sauna,17,22,8.92,overcast clouds,9.76,overcast clouds,No
2024-12-17 18:08:03,Tuesday,shared sauna,19,30,8.92,overcast clouds,9.76,overcast clouds,No
2024-12-17 18:11:46,Tuesday,shared sauna,19,30,8.92,overcast clouds,8.66,overcast clouds,No
