timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-12-18 14:03:21,Wednesday,shared sauna,5,10,7.38,few clouds,7.64,few clouds,No
2024-12-18 14:07:04,Wednesday,shared sauna,5,10,7.28,scattered clouds,7.55,scattered clouds,No
2024-12-18 14:10:47,Wednesday,shared sauna,10,18,7.28,scattered clouds,7.55,scattered clouds,No
2024-12-18 14:14:30,Wednesday,shared sauna,10,18,7.28,scattered clouds,7.55,scattered clouds,No
2024-12-18 14:18:13,Wednesday,shared sauna,10,21,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:21:56,Wednesday,shared sauna,11,23,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:25:39,Wednesday,shared sauna,11,23,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:29:21,Wednesday,shared sauna,12,32,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:33:04,Wednesday,shared sauna,12,32,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:36:47,Wednesday,shared sauna,13,31,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:40:30,Wednesday,shared sauna,13,31,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:44:13,Wednesday,shared sauna,13,37,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:47:56,Wednesday,shared sauna,13,37,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:51:39,Wednesday,shared sauna,12,37,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:55:23,Wednesday,shared sauna,13,36,7.38,clear sky,7.64,clear sky,No
2024-12-18 14:59:06,Wednesday,shared sauna,13,36,7.38,clear sky,7.64,clear sky,No
2024-12-18 15:02:49,Wednesday,shared sauna,9,37,7.38,clear sky,7.64,clear sky,No
2024-12-18 15:06:32,Wednesday,shared sauna,9,37,7.38,clear sky,7.64,clear sky,No
2024-12-18 15:10:15,Wednesday,shared sauna,8,32,6.72,broken clouds,6.99,broken clouds,No
2024-12-18 15:13:58,Wednesday,shared sauna,0,0,6.72,broken clouds,6.99,broken clouds,No
2024-12-18 15:17:41,Wednesday,shared sauna,6,28,6.6,clear sky,6.87,clear sky,No
2024-12-18 15:21:24,Wednesday,shared sauna,6,19,6.6,clear sky,6.87,clear sky,No
2024-12-18 15:25:07,Wednesday,shared sauna,6,19,6.6,clear sky,6.87,clear sky,No
2024-12-18 15:28:49,Wednesday,shared sauna,7,27,6.6,clear sky,6.87,clear sky,No
2024-12-18 15:32:33,Wednesday,shared sauna,7,27,6.6,clear sky,6.87,clear sky,No
2024-12-18 15:36:15,Wednesday,shared sauna,6,26,6.72,clear sky,6.99,clear sky,No
2024-12-18 15:39:58,Wednesday,shared sauna,6,26,6.72,clear sky,6.99,clear sky,No
2024-12-18 15:43:41,Wednesday,shared sauna,8,33,6.6,clear sky,6.87,clear sky,No
2024-12-18 15:47:24,Wednesday,shared sauna,8,33,6.6,clear sky,6.87,clear sky,No
