timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-11-20 14:02:30,Wednesday,shared sauna,2,7,3.85,overcast clouds,4.15,overcast clouds,No
2024-11-20 14:06:12,Wednesday,shared sauna,2,7,3.85,overcast clouds,4.15,overcast clouds,No
2024-11-20 14:09:58,Wednesday,shared sauna,4,10,3.85,overcast clouds,4.15,overcast clouds,No
2024-11-20 14:13:40,Wednesday,shared sauna,4,10,3.63,overcast clouds,3.9,overcast clouds,No
2024-11-20 14:17:26,Wednesday,shared sauna,6,16,3.63,overcast clouds,3.9,overcast clouds,No
2024-11-20 14:21:09,Wednesday,shared sauna,8,21,3.63,overcast clouds,3.89,broken clouds,No
2024-11-20 14:24:51,Wednesday,shared sauna,8,21,3.63,broken clouds,3.89,broken clouds,No
2024-11-20 14:28:34,Wednesday,shared sauna,9,28,3.64,broken clouds,3.91,broken clouds,No
2024-11-20 14:32:16,Wednesday,shared sauna,9,28,3.64,broken clouds,3.91,broken clouds,No
2024-11-20 14:35:59,Wednesday,shared sauna,11,36,3.64,broken clouds,3.91,broken clouds,No
2024-11-20 14:39:41,Wednesday,shared sauna,11,36,3.64,broken clouds,3.91,broken clouds,No
2024-11-20 14:43:23,Wednesday,shared sauna,13,36,3.64,broken clouds,3.91,broken clouds,No
2024-11-20 14:47:09,Wednesday,shared sauna,13,36,3.64,broken clouds,3.91,broken clouds,No
2024-11-20 14:50:52,Wednesday,shared sauna,12,34,3.64,broken clouds,3.91,broken clouds,No
2024-11-20 14:54:34,Wednesday,shared sauna,12,34,3.64,broken clouds,3.91,broken clouds,No
2024-11-20 14:58:17,Wednesday,shared sauna,12,35,3.64,broken clouds,3.91,broken clouds,No
2024-11-20 15:01:59,Wednesday,shared sauna,12,35,3.97,overcast clouds,3.91,broken clouds,No
2024-11-20 15:05:41,Wednesday,shared sauna,12,39,3.64,broken clouds,3.91,broken clouds,No
2024-11-20 15:09:24,Wednesday,shared sauna,12,39,3.97,overcast clouds,3.91,overcast clouds,No
2024-11-20 15:13:07,Wednesday,shared sauna,8,43,3.66,overcast clouds,3.91,overcast clouds,No
2024-11-20 15:16:49,Wednesday,shared sauna,8,43,3.6,scattered clouds,3.85,scattered clouds,No
2024-11-20 15:20:32,Wednesday,shared sauna,9,33,3.6,scattered clouds,3.85,scattered clouds,No
2024-11-20 15:24:14,Wednesday,shared sauna,9,33,3.6,scattered clouds,3.85,scattered clouds,No
2024-11-20 15:27:57,Wednesday,shared sauna,11,37,3.51,scattered clouds,3.77,scattered clouds,No
2024-11-20 15:31:39,Wednesday,shared sauna,11,37,3.51,scattered clouds,3.77,scattered clouds,No
2024-11-20 15:35:25,Wednesday,shared sauna,10,33,3.52,scattered clouds,3.78,scattered clouds,No
2024-11-20 15:39:07,Wednesday,shared sauna,10,33,3.52,scattered clouds,3.78,scattered clouds,No
2024-11-20 15:42:50,Wednesday,shared sauna,10,45,3.48,scattered clouds,3.78,scattered clouds,No
2024-11-20 15:46:32,Wednesday,shared sauna,10,45,3.48,scattered clouds,3.74,scattered clouds,No
