timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-12-21 12:03:24,Saturday,shared sauna,2,21,1.89,few clouds,2.15,few clouds,No
2024-12-21 12:07:07,Saturday,shared sauna,2,21,1.89,few clouds,2.55,broken clouds,No
2024-12-21 12:10:50,Saturday,shared sauna,2,22,1.89,few clouds,2.55,broken clouds,No
2024-12-21 12:14:33,Saturday,shared sauna,2,23,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:18:16,Saturday,shared sauna,2,23,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:21:59,Saturday,shared sauna,3,22,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:25:42,Saturday,shared sauna,0,0,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:29:25,Saturday,shared sauna,3,23,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:33:08,Saturday,shared sauna,3,20,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:36:51,Saturday,shared sauna,3,20,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:40:34,Saturday,shared sauna,3,19,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:44:17,Saturday,shared sauna,3,19,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:48:00,Saturday,shared sauna,3,19,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:51:43,Saturday,shared sauna,3,19,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:55:26,Saturday,shared sauna,3,19,2.38,clear sky,2.64,clear sky,No
2024-12-21 12:59:09,Saturday,shared sauna,3,18,2.38,clear sky,2.64,clear sky,No
2024-12-21 13:02:52,Saturday,shared sauna,3,18,2.38,clear sky,2.64,clear sky,No
2024-12-21 13:06:35,Saturday,shared sauna,4,19,2.38,clear sky,2.64,clear sky,No
2024-12-21 13:10:18,Saturday,shared sauna,4,19,3.39,broken clouds,3.66,broken clouds,No
2024-12-21 13:14:01,Saturday,shared sauna,5,18,3.39,broken clouds,3.66,broken clouds,No
2024-12-21 13:17:44,Saturday,shared sauna,5,18,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:21:32,Saturday,shared sauna,5,16,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:25:15,Saturday,shared sauna,5,16,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:28:58,Saturday,shared sauna,5,18,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:32:40,Saturday,shared sauna,5,21,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:36:23,Saturday,shared sauna,5,21,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:40:06,Saturday,shared sauna,5,22,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:43:49,Saturday,shared sauna,0,0,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:47:32,Saturday,shared sauna,0,0,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:51:20,Saturday,shared sauna,5,21,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:55:03,Saturday,shared sauna,5,21,3.43,clear sky,3.7,clear sky,No
2024-12-21 13:58:46,Saturday,shared sauna,5,21,3.43,clear sky,3.7,clear sky,No
2024-12-21 14:02:29,Saturday,shared sauna,8,18,3.43,clear sky,3.7,clear sky,No
2024-12-21 14:06:12,Saturday,shared sauna,7,17,3.43,clear sky,3.7,clear sky,No
2024-12-21 14:09:55,Saturday,shared sauna,7,17,3.43,clear sky,3.7,clear sky,No
2024-12-21 14:13:38,Saturday,shared sauna,9,23,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:17:21,Saturday,shared sauna,9,23,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:21:09,Saturday,shared sauna,8,23,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:24:52,Saturday,shared sauna,8,23,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:28:35,Saturday,shared sauna,7,20,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:32:18,Saturday,shared sauna,8,19,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:36:01,Saturday,shared sauna,8,19,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:39:45,Saturday,shared sauna,8,18,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:43:28,Saturday,shared sauna,9,21,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:47:11,Saturday,shared sauna,9,21,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:50:54,Saturday,shared sauna,11,23,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:54:37,Saturday,shared sauna,11,23,3.43,few clouds,3.7,few clouds,No
2024-12-21 14:58:20,Saturday,shared sauna,16,22,3.43,few clouds,3.7,few clouds,No
2024-12-21 15:02:03,Saturday,shared sauna,14,26,3.43,few clouds,3.7,few clouds,No
2024-12-21 15:05:46,Saturday,shared sauna,14,26,3.43,few clouds,3.7,few clouds,No
2024-12-21 15:09:29,Saturday,shared sauna,14,30,3.39,broken clouds,3.66,broken clouds,No
2024-12-21 15:13:12,Saturday,shared sauna,14,30,3.39,broken clouds,3.66,broken clouds,No
2024-12-21 15:16:55,Saturday,shared sauna,14,28,3.43,clear sky,3.7,clear sky,No
2024-12-21 15:20:38,Saturday,shared sauna,10,35,3.43,clear sky,3.7,clear sky,No
