timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-11-17 17:14:40,Sunday,shared sauna,31,0,2.82,broken clouds,3.07,broken clouds,Yes
2024-11-17 17:15:41,Sunday,shared sauna,31,0,2.82,broken clouds,3.07,broken clouds,Yes
2024-11-17 17:16:41,Sunday,shared sauna,31,0,2.82,broken clouds,3.07,broken clouds,Yes
2024-11-17 17:17:42,Sunday,shared sauna,32,0,2.82,broken clouds,3.07,broken clouds,Yes
2024-11-17 17:18:42,Sunday,shared sauna,32,0,2.82,broken clouds,3.07,broken clouds,Yes
2024-11-17 17:19:43,Sunday,shared sauna,32,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:20:44,Sunday,shared sauna,32,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:21:44,Sunday,shared sauna,32,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:22:45,Sunday,shared sauna,37,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:23:45,Sunday,shared sauna,37,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:24:45,Sunday,shared sauna,37,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:25:46,Sunday,shared sauna,37,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:26:47,Sunday,shared sauna,37,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:27:47,Sunday,shared sauna,28,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:28:48,Sunday,shared sauna,28,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:29:49,Sunday,shared sauna,28,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:30:49,Sunday,shared sauna,28,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:31:50,Sunday,shared sauna,28,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:32:50,Sunday,shared sauna,26,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:33:51,Sunday,shared sauna,26,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:34:51,Sunday,shared sauna,26,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:35:52,Sunday,shared sauna,26,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:36:52,Sunday,shared sauna,26,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:37:53,Sunday,shared sauna,24,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:38:53,Sunday,shared sauna,24,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:39:54,Sunday,shared sauna,24,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:40:54,Sunday,shared sauna,24,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:41:55,Sunday,shared sauna,24,0,2.91,broken clouds,2.92,broken clouds,Yes
2024-11-17 17:42:55,Sunday,shared sauna,28,0,2.91,broken clouds,3.26,light rain,Yes
2024-11-17 17:43:56,Sunday,shared sauna,28,0,3.04,light rain,3.26,light rain,Yes
2024-11-17 17:44:56,Sunday,shared sauna,28,0,3.04,light rain,3.36,broken clouds,Yes
2024-11-17 17:45:57,Sunday,shared sauna,28,0,3.09,broken clouds,3.36,broken clouds,Yes
2024-11-17 17:46:57,Sunday,shared sauna,28,0,3.09,broken clouds,3.26,light rain,Yes
2024-11-17 17:47:58,Sunday,shared sauna,26,0,3.04,light rain,3.26,light rain,Yes
2024-11-17 17:48:58,Sunday,shared sauna,26,0,3.04,light rain,3.26,light rain,Yes
2024-11-17 17:49:59,Sunday,shared sauna,26,0,3.04,light rain,3.26,light rain,Yes
2024-11-17 17:50:59,Sunday,shared sauna,26,0,3.04,light rain,3.36,light rain,Yes
2024-11-17 17:52:00,Sunday,shared sauna,26,0,3.13,broken clouds,3.36,light rain,Yes
2024-11-17 17:53:00,Sunday,shared sauna,27,0,3.13,broken clouds,3.36,light rain,Yes
2024-11-17 17:54:01,Sunday,shared sauna,27,0,3.13,broken clouds,3.36,light rain,Yes
2024-11-17 17:55:01,Sunday,shared sauna,27,0,3.13,broken clouds,3.36,light rain,Yes
2024-11-17 17:56:02,Sunday,shared sauna,27,0,3.13,broken clouds,3.36,light rain,Yes
2024-11-17 17:57:02,Sunday,shared sauna,27,0,3.13,broken clouds,3.36,light rain,Yes
2024-11-17 17:58:03,Sunday,shared sauna,28,0,3.13,broken clouds,3.36,broken clouds,Yes
2024-11-17 17:59:03,Sunday,shared sauna,28,0,3.13,broken clouds,3.36,broken clouds,Yes
2024-11-17 18:00:07,Sunday,shared sauna,28,0,3.13,broken clouds,3.36,broken clouds,Yes
2024-11-17 18:01:07,Sunday,shared sauna,28,0,3.13,broken clouds,3.36,broken clouds,Yes
2024-11-17 18:02:08,Sunday,shared sauna,28,0,3.13,broken clouds,3.36,broken clouds,Yes
2024-11-17 18:03:08,Sunday,shared sauna,25,0,3.13,broken clouds,3.36,broken clouds,Yes
2024-11-17 18:04:09,Sunday,shared sauna,25,0,3.13,broken clouds,3.36,broken clouds,Yes
2024-11-17 18:05:09,Sunday,shared sauna,25,0,3.13,broken clouds,3.36,broken clouds,Yes
2024-11-17 18:06:10,Sunday,shared sauna,25,0,3.13,broken clouds,3.36,broken clouds,Yes
2024-11-17 18:07:10,Sunday,shared sauna,25,0,3.13,broken clouds,3.36,broken clouds,Yes
2024-11-17 18:08:10,Sunday,shared sauna,27,0,3.13,broken clouds,3.26,broken clouds,Yes
2024-11-17 18:09:11,Sunday,shared sauna,27,0,3.04,broken clouds,3.26,broken clouds,Yes
