timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-11-23 12:02:07,Saturday,shared sauna,0,19,3.07,scattered clouds,3.37,scattered clouds,No
2024-11-23 12:05:50,Saturday,shared sauna,1,27,2.67,scattered clouds,2.9,scattered clouds,No
2024-11-23 12:09:32,Saturday,shared sauna,1,27,2.67,scattered clouds,2.9,scattered clouds,No
2024-11-23 12:13:14,Saturday,shared sauna,1,25,2.68,scattered clouds,2.9,scattered clouds,No
2024-11-23 12:16:57,Saturday,shared sauna,1,25,2.68,scattered clouds,2.9,scattered clouds,No
2024-11-23 12:20:39,Saturday,shared sauna,1,26,2.69,broken clouds,2.92,broken clouds,No
2024-11-23 12:24:22,Saturday,shared sauna,1,26,2.69,broken clouds,2.92,broken clouds,No
2024-11-23 12:28:04,Saturday,shared sauna,1,26,2.65,broken clouds,2.92,broken clouds,No
2024-11-23 12:31:47,Saturday,shared sauna,1,25,2.65,broken clouds,2.92,broken clouds,No
2024-11-23 12:35:29,Saturday,shared sauna,1,25,2.65,broken clouds,2.92,broken clouds,No
2024-11-23 12:39:12,Saturday,shared sauna,1,26,2.55,broken clouds,2.81,broken clouds,No
2024-11-23 12:42:55,Saturday,shared sauna,1,26,2.55,broken clouds,2.81,broken clouds,No
2024-11-23 12:46:37,Saturday,shared sauna,1,26,2.56,broken clouds,2.82,broken clouds,No
2024-11-23 12:50:20,Saturday,shared sauna,1,28,2.56,broken clouds,2.82,broken clouds,No
2024-11-23 12:54:02,Saturday,shared sauna,1,31,2.55,broken clouds,2.81,broken clouds,No
2024-11-23 12:57:45,Saturday,shared sauna,1,31,2.55,broken clouds,2.81,broken clouds,No
2024-11-23 13:01:28,Saturday,shared sauna,1,36,3.87,scattered clouds,4.19,scattered clouds,No
2024-11-23 13:05:11,Saturday,shared sauna,2,28,3.87,scattered clouds,4.19,scattered clouds,No
2024-11-23 13:08:54,Saturday,shared sauna,2,28,3.62,scattered clouds,3.88,scattered clouds,No
2024-11-23 13:12:36,Saturday,shared sauna,2,28,3.62,scattered clouds,3.88,scattered clouds,No
2024-11-23 13:16:19,Saturday,shared sauna,3,33,3.54,broken clouds,3.8,broken clouds,No
