timestamp,day,session_type,persons_sauna,persons_pool,temperature_home,weather_description_home,temperature_sauna,weather_description_sauna,national_holiday
2024-12-22 12:39:40,Sunday,shared sauna,2,23,-0.28,light snow,0.35,light snow,No
2024-12-22 12:43:23,Sunday,shared sauna,4,21,-0.28,light snow,0.35,light snow,No
2024-12-22 12:47:07,Sunday,shared sauna,4,21,-0.28,light snow,0.35,light snow,No
2024-12-22 12:50:50,Sunday,shared sauna,4,13,0,light snow,0.65,light snow,No
2024-12-22 12:54:33,Sunday,shared sauna,4,13,0,light snow,0.65,light snow,No
2024-12-22 12:58:17,Sunday,shared sauna,4,13,0,light snow,0.65,light snow,No
2024-12-22 13:02:01,Sunday,shared sauna,5,16,0,light snow,0.65,light snow,No
2024-12-22 13:05:44,Sunday,shared sauna,4,20,0,light snow,0.65,light snow,No
2024-12-22 13:09:27,Sunday,shared sauna,4,20,0,light snow,0.65,light snow,No
2024-12-22 13:13:10,Sunday,shared sauna,3,23,0,light snow,0.65,light snow,No
2024-12-22 13:16:53,Sunday,shared sauna,3,23,0,light snow,0.65,light snow,No
2024-12-22 13:20:36,Sunday,shared sauna,3,21,0,light snow,0.65,light snow,No
2024-12-22 13:24:20,Sunday,shared sauna,4,22,0,light snow,0.65,light snow,No
2024-12-22 13:28:03,Sunday,shared sauna,4,22,0,light snow,0.65,light snow,No
2024-12-22 13:31:46,Sunday,shared sauna,4,22,0,light snow,0.65,light snow,No
2024-12-22 13:35:29,Sunday,shared sauna,4,23,0.19,light snow,0.82,light snow,No
2024-12-22 13:39:13,Sunday,shared sauna,4,23,0.19,light snow,0.82,light snow,No
2024-12-22 13:42:56,Sunday,shared sauna,4,30,0.19,light snow,0.82,light snow,No
2024-12-22 13:46:39,Sunday,shared sauna,4,38,0.19,light snow,0.82,light snow,No
2024-12-22 13:50:22,Sunday,shared sauna,4,38,0.19,light snow,0.82,light snow,No
2024-12-22 13:54:05,Sunday,shared sauna,4,35,0.19,light snow,0.82,light snow,No
2024-12-22 13:57:48,Sunday,shared sauna,7,39,0.19,light snow,0.82,light snow,No
2024-12-22 14:01:31,Sunday,shared sauna,7,39,0.19,light snow,0.82,light snow,No
2024-12-22 14:05:14,Sunday,shared sauna,9,42,0.19,light snow,0.82,light snow,No
2024-12-22 14:08:57,Sunday,shared sauna,9,38,0.19,light snow,0.82,light snow,No
2024-12-22 14:12:41,Sunday,shared sauna,9,38,0.19,light snow,0.82,light snow,No
2024-12-22 14:16:24,Sunday,shared sauna,9,44,0.19,light snow,0.82,light snow,No
2024-12-22 14:20:07,Sunday,shared sauna,11,46,0.19,snow,0.82,snow,No
2024-12-22 14:23:50,Sunday,shared sauna,11,46,0.19,snow,0.82,snow,No
2024-12-22 14:27:33,Sunday,shared sauna,12,51,0.19,snow,0.82,snow,No
2024-12-22 14:31:16,Sunday,shared sauna,15,56,0.42,snow,1.11,snow,No
2024-12-22 14:35:00,Sunday,shared sauna,15,56,0.42,snow,1.11,snow,No
2024-12-22 14:38:44,Sunday,shared sauna,15,64,0.42,snow,1.11,snow,No
2024-12-22 14:42:31,Sunday,shared sauna,19,64,3.61,light rain,1.11,snow,No
2024-12-22 14:46:16,Sunday,shared sauna,19,64,3.61,light rain,3.88,light rain,No
2024-12-22 14:50:00,Sunday,shared sauna,21,66,3.06,moderate rain,3.33,moderate rain,No
2024-12-22 14:53:43,Sunday,shared sauna,19,66,3.06,moderate rain,3.33,moderate rain,No
2024-12-22 14:57:25,Sunday,shared sauna,18,67,3.06,moderate rain,3.33,moderate rain,No
2024-12-22 15:01:08,Sunday,shared sauna,18,67,3.06,light rain,3.33,light rain,No
2024-12-22 15:04:51,Sunday,shared sauna,19,71,3.06,light rain,3.33,light rain,No
2024-12-22 15:08:38,Sunday,shared sauna,21,77,2.5,light rain,2.77,light rain,No
2024-12-22 15:12:21,Sunday,shared sauna,21,77,2.5,light rain,2.77,light rain,No
2024-12-22 15:16:04,Sunday,shared sauna,21,74,2.5,light rain,2.77,light rain,No
2024-12-22 15:19:46,Sunday,shared sauna,21,71,2.5,light rain,2.77,light rain,No
2024-12-22 15:23:29,Sunday,shared sauna,21,71,2.5,light rain,2.77,light rain,No
2024-12-22 15:27:12,Sunday,shared sauna,25,69,1.95,light rain,2.22,light rain,No
2024-12-22 15:30:55,Sunday,shared sauna,26,62,1.95,moderate rain,2.22,moderate rain,No
2024-12-22 15:34:39,Sunday,shared sauna,26,62,1.95,moderate rain,2.22,moderate rain,No
2024-12-22 15:38:22,Sunday,shared sauna,24,63,1.95,moderate rain,2.22,moderate rain,No
2024-12-22 15:42:05,Sunday,shared sauna,0,0,1.95,moderate rain,2.22,moderate rain,No
2024-12-22 15:45:48,Sunday,shared sauna,0,0,1.95,moderate rain,2.22,moderate rain,No
2024-12-22 15:49:32,Sunday,shared sauna,26,71,1.95,moderate rain,2.22,moderate rain,No
2024-12-22 15:53:15,Sunday,shared sauna,28,71,1.95,moderate rain,2.22,moderate rain,No
2024-12-22 15:56:58,Sunday,shared sauna,28,71,1.95,moderate rain,2.22,moderate rain,No
2024-12-22 16:00:41,Sunday,shared sauna,30,70,1.95,moderate rain,2.22,moderate rain,No
2024-12-22 16:04:24,Sunday,shared sauna,28,60,1.95,light rain,2.22,light rain,No
2024-12-22 16:08:07,Sunday,shared sauna,0,0,1.95,light rain,2.22,light rain,No
2024-12-22 16:11:50,Sunday,shared sauna,32,60,1.95,light rain,2.22,light rain,No
2024-12-22 16:15:33,Sunday,shared sauna,31,61,1.95,light rain,2.22,light rain,No
2024-12-22 16:19:16,Sunday,shared sauna,30,62,1.39,snow,1.66,snow,No
2024-12-22 16:22:59,Sunday,shared sauna,30,62,1.39,snow,1.66,snow,No
2024-12-22 16:26:45,Sunday,shared sauna,30,61,1.39,snow,1.66,snow,No
2024-12-22 16:30:28,Sunday,shared sauna,25,63,1.39,snow,1.66,snow,No
2024-12-22 16:34:11,Sunday,shared sauna,25,63,1.39,snow,1.66,snow,No
2024-12-22 16:37:54,Sunday,shared sauna,25,56,1.39,snow,1.66,snow,No
2024-12-22 16:41:37,Sunday,shared sauna,25,61,1.39,snow,1.66,snow,No
2024-12-22 16:45:20,Sunday,shared sauna,25,61,1.39,snow,1.66,snow,No
2024-12-22 16:49:03,Sunday,shared sauna,24,61,1.39,snow,1.66,snow,No
2024-12-22 16:52:46,Sunday,shared sauna,24,57,1.39,snow,1.66,snow,No
2024-12-22 16:56:29,Sunday,shared sauna,24,57,1.39,snow,1.66,snow,No
2024-12-22 17:00:12,Sunday,shared sauna,22,60,1.39,snow,1.66,snow,No
2024-12-22 17:03:55,Sunday,shared sauna,0,0,1.39,snow,1.66,snow,No
2024-12-22 17:07:38,Sunday,shared sauna,22,72,1.39,snow,1.66,snow,No
2024-12-22 17:11:21,Sunday,shared sauna,23,73,1.39,snow,1.66,snow,No
2024-12-22 17:15:04,Sunday,shared sauna,23,67,1.39,snow,1.66,light snow,No
2024-12-22 17:18:47,Sunday,shared sauna,23,67,1.39,light snow,1.66,light snow,No
2024-12-22 17:22:30,Sunday,shared sauna,24,70,1.39,light snow,1.66,light snow,No
2024-12-22 17:26:13,Sunday,shared sauna,23,66,1.39,light snow,1.66,light snow,No
2024-12-22 17:29:56,Sunday,shared sauna,23,66,1.39,light snow,1.66,light snow,No
